biome	code	definition
		
freshwater lake biome	ENVO:01000252	A biome which is determined by a freshwater lake.
aquatic biome	ENVO:00002030	A biome which is determined by a water body and which has ecological climax communities adapted to life in or on water.
marine biome	ENVO:00000447	An aquatic biome which is determined by a marine water body.
tropical savanna biome	ENVO:01000188	A savanna biome which is subject to tropical climate patterns.
tropical shrubland biome	ENVO:01000214	A shrubland biome which is subject to tropical climate patterns
arid biome	ENVO:01001838	A biome which is subject to arid environmental conditions.
desert biome	ENVO:01000179	A desert biome is a terrestrial biome which loses more liquid water by evapotranspiration than is supplied by precipitation and includes communities adapted to these conditions.
tropical desert biome	ENVO:01000183	A tropical desert biome is a desert biome which has communities adapted to temperatures above a monthly average of 18 degrees Celsius, high daily temperature ranges of approximately 20 degrees Celsius, very high insolation due to inhibited cloud formation, and very low precipitation. Tropical desert biomes located near coasts with cold upwellings may have cooler temperatures and reduced insolution due to fog.
terretrial ecosystem	ENVO:01001790	
grassland ecosystem	ENVO:01001206	An ecosystem in which grasses (Graminae) are the dominant form of vegetation and determine the system's structure and dynamics.
marsh	ENVO:00000035	A wetland ecosystem which includes communities of grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants)
freshwater marsh	ENVO:00000053	A marsh in which soils are saturated with water that contains low concentrations of salts
saline marsh	ENVO:00000054	A marsh whose water contains a considerable quantity of dissolved salts.
		
		
		
material	code	definition
		
mud	ENVO:01000001	An environmental material which is a liquid or semi-liquid mixture of water and some combination of soil, silt, and clay particles.
gravel	ENVO:01000018	An environmental material which is composed primarily of pieces of gravel.
pond water	ENVO:00002228	
rain water	ENVO:01000600	Rainwater is liquid water which has precipitated in the form of droplets through the condensation of atmospheric water vapour.
lake water	ENVO:04000007	Water which is part of a lake.
muddy water	ENVO:00005793	Sediment is suspended in the water (MD definition)
residual water in soil	ENVO:06105238	Liquid water which is present in soils as discontinuous volumnes of water in contact with solid and gaseous components of the soil.
stagnant water	ENVO:03501370	A liquid water which has no current or flow and is susceptible to contamination by pathogens or pathogenic vectors.
salt material	ENVO:01000508	
biomass	ENVO:01000155	Environmental material derived from living organisms and composed primarily of one or more biomacromolecules.
biofilm material	ENVO:01000156	Material derived from a biofilm, an aggregate of microorganisms in which cells adhere to each other and/or to a surface
plant matter	ENVO:01001121	Organic material which is primarily composed of plant structures, living or dead.
clay	ENVO:00002982	Particulate environmental material which 1) is composed primarily of clay particles, with only minor proportions of other materials, 2) demonstrates plasticity when wet, and 3) is capable of hardening when dried or fired.
sandy clay	ENVO:06105279	Clay which has a high proportion of sand in its composition.
desert sand	ENVO:00005800	Sand which is part of a desert.
rocky sand	ENVO:00005799	Sand that is largley composed of fine/granular rock particles (MD definition)
sediment	ENVO:00002007	Sediment is an environmental substance comprised of any particulate matter that can be transported by fluid flow and which eventually is deposited as a layer of solid particles on the bedor bottom of a body of water or other liquid. It is recommended to use a combination of sediment terms to describe a more specific sediment type.
soil	ENVO:00001998	An environmental material which is primarily composed of minerals, varying proportions of sand, silt, and clay, organic material such as humus, interstitial gases, liquids, and a broad range of resident micro- and macroorganisms.
fecal material	ENVO:00002003	An excreta material which is composed primarily of feces, an excreta consisting of waste products expelled from an animal's digestive tract through the anus (or cloaca) during defecation.
carcas	ENVO:00002033	The dead body of an animal.
		
		
feature	code	definition
		
saline lake	ENVO:00000019	A lake whose water contains a considerable concentration of dissolved salts
aerolian lake	ENVO:01001105	A lake which fills a basin that has been dammed by wind-blown sand, formed between sand dunes oriented by winds; or formed by wind action under previously arid paleoenvironments
saline pan	ENVO:00000279	A flat expanse of ground covered with salt and other minerals, usually shining white under the sun
sand dune	ENVO:00000170	A hill of sand built by eolian processes
water well	ENVO:01000002	A well which provides access to groundwater held in an aquifer. 
road	ENVO:00000064	 An open way for the passage of vehicles, persons, or animals on land
campground	ENVO:01000935	 A part of an ecosystem which may be or has been used for one or more overnight stays by humans sheltering in tents, camper vans, caravans, or improvised shelters
desert oasis	ENVO:00000156	A small, isolated, fertile or green area in a desert region, usually having a spring or well. 
dune slack	ENVO:00000308	A valley or trough between two dunes
oilspill	ENVO:00002061	The result of the unintentional release of liquid petroleum hydrocarbon into the environment as a result of human activity. 
biofilm	ENVO:00002034	A complex aggregation of microorganisms marked by the excretion of a protective and adhesive matrix; usually adhering to a substratum. 
gravel	ENVO:01000018	An environmental material which is composed primarily of pieces of gravel.
		
sample storage device		
2ml tube		
5ml tube		
filter		
1oz nalgene HDPE container		
		
		
sub-site location		
surface		
ground		
plant-associated		
water		
		
plant type		
short grass		
tall grass		
flowering plant	NCBITaxon:3398	
shrub		A shrub is a small to medium-sized woody plant with multiple stems and branches that typically grow to a height of less than 6 meters .
tree		A tree is a large perennial plant with a single main stem, or trunk, that supports branches and leaves above ground. Trees typically have a height of at least 6 meters (20 feet).
cactus		
date palm		
